  run year index     sng      sdg      sdc       og       rt      pop     area    edges clusters    xmean    ymean      rad    slope  cl_size   diffus   spread    breed  slp_res  rd_grav   %urban    %road grw_rate leesalee  grw_pix 
   29 1991  2      86.75     6.75     0.00   661.50     5.50 42912.25 42912.25  4106.75  1641.50   242.82   470.17   116.87     4.06    25.75    43.06    93.11     2.33    51.93    42.81    13.20     0.00     1.77     0.29   760.50 
   29 2013  3     119.25     5.50     0.00  1942.75     5.00 72898.50 72898.50  9832.75  3882.25   273.07   452.59   152.31     4.06    18.25    53.60   100.00     2.90    16.38    46.36    20.85     0.00     2.84     0.35  2072.50 
   30 1978  1     175.50    15.00     0.00   182.25     5.50 34224.00 34224.00  2605.75   971.00   239.20   473.08   104.37     4.11    34.75    71.00    33.00     3.00    36.00    81.00    11.03     0.00     1.11     0.79   378.25 
   30 1991  2     179.00     9.50     0.00   337.50     8.50 40167.50 40167.50  6050.25  3306.75   251.04   465.78   113.07     4.12    11.75    72.26    33.59     3.05    33.89    81.21    12.51     0.00     1.33     0.27   534.50 
   30 2013  3     254.25    16.50     0.00  1385.00     9.75 61803.75 61803.75 15748.00  7536.25   283.48   443.81   140.24     4.22     7.75    88.85    41.30     3.75     4.38    84.26    18.08     0.00     2.69     0.29  1665.50 
   31 1978  1     174.00   289.75     0.00   374.50    76.25 36237.25 36237.25  4762.75  1640.25   246.56   468.14   107.40     4.05    21.50    94.69    30.18    83.25    86.59    19.44    11.53     0.00     2.52     0.75   914.50 
   31 1991  2     193.50   327.25     0.00  2251.00    58.75 59587.75 59587.75 22978.25  5509.25   288.85   439.04   137.72     3.84    10.25   100.00    32.03    88.37    68.81    21.22    17.35     0.00     4.75     0.28  2830.50 
   31 2013  3     172.00   293.00     0.00  8576.25    22.75 188910.75 188910.75 70201.50  5712.00   348.40   403.42   245.21     4.04    32.25   100.00    32.03    88.37     3.22    27.78    49.80     0.00     4.80     0.35  9064.00 
   32 1978  1      16.75    19.25     0.00   323.75    69.75 34242.50 34242.50  2403.00   320.50   236.04   474.73   104.40     4.11   106.00     5.87    38.12    59.63    21.99    40.00    11.04     0.00     1.25     0.80   429.50 
   32 1991  2      19.00    25.50     0.00   899.00    66.50 43134.75 43134.75  5880.75   808.00   247.23   467.15   117.17     4.15    53.25     6.51    42.34    66.23     9.32    41.27    13.25     0.00     2.33     0.29  1010.00 
   32 2013  3      22.50    36.75     0.00  3639.50    65.00 92451.75 92451.75 19388.75  1725.25   306.32   435.94   171.37     4.56    53.00     8.11    52.71    82.44     1.00    45.19    25.73     0.00     4.05     0.33  3763.75 
   33 1978  1     237.50     4.00     0.00   137.50     3.50 34280.25 34280.25  2799.75  1228.00   240.91   472.70   104.46     4.14    27.25    84.00    24.00     1.00    17.00    67.00    11.05     0.00     1.12     0.79   382.50 
   33 1991  2     227.00     1.50     0.00   218.50     4.75 39696.00 39696.00  6466.25  4174.75   254.26   465.26   112.41     4.19     9.00    84.00    24.00     1.00    17.00    67.00    12.40     0.00     1.14     0.26   451.75 
   33 2013  3     224.50     4.00     0.00   427.00     4.00 51597.75 51597.75 13239.75  8652.50   274.13   454.11   128.16     4.26     5.25    84.21    24.06     1.00    16.62    67.04    15.53     0.00     1.28     0.27   659.50 
   34 1978  1       6.00     2.50     0.00   204.00    14.75 33654.50 33654.50  1832.25   133.00   234.64   475.62   103.50     4.09   256.50     2.62    45.27    17.71    97.30     0.57    10.89     0.00     0.68     0.81   227.25 
   34 1991  2       0.50     0.00     0.00    70.25     3.00 35432.00 35432.00  2313.75   209.00   234.48   475.49   106.20     4.06   170.50     0.67    11.51     4.50   100.00     0.21    11.33     0.00     0.21     0.26    73.75 
   34 2013  3       0.50     0.00     0.00    10.00     0.50 36120.50 36120.50  2452.75   227.00   234.35   475.46   107.23     4.05   159.00     0.07     1.13     0.44   100.00     0.77    11.67     0.00     0.03     0.24    11.00 
   35 1978  1      41.00     9.75     0.00    92.25    11.50 33310.75 33310.75  1941.25   358.00   236.47   474.69   102.97     4.11    92.50    17.71    17.71     9.84    56.28    76.57    10.80     0.00     0.46     0.80   154.50 
   35 1991  2       9.50     1.00     0.00    29.25     3.75 34453.75 34453.75  2610.00   698.75   237.98   473.64   104.72     4.09    49.00     4.50     4.50     2.50    70.53    75.15    11.09     0.00     0.13     0.25    43.50 
   35 2013  3       0.75     0.00     0.00     7.00     0.00 34866.25 34866.25  2832.75   792.50   238.39   473.27   105.35     4.09    43.25     0.44     0.44     0.25    95.07    72.69    11.36     0.00     0.02     0.23     7.75 
   36 1978  1      54.25    80.50     0.00   356.75    69.75 34697.25 34697.25  2909.75   614.75   238.22   473.82   105.09     4.09    56.00    22.50    41.93    70.57    50.55    12.25    11.15     0.00     1.62     0.79   561.25 
   36 1991  2      66.75   105.25     0.00  1723.25    39.25 49850.75 49850.75 11294.50  1996.75   261.52   459.23   125.96     4.02    24.75    25.61    47.72    80.31    34.27    13.87    14.93     0.00     3.88     0.29  1934.50 
   36 2013  3      63.75   124.25     0.00  9082.00    28.00 168430.75 168430.75 43252.00  3348.00   344.56   414.15   231.51     4.45    50.00    31.87    59.40    99.54     1.00    19.47    44.69     0.00     5.52     0.35  9298.00 
   37 1978  1     149.50    23.00     0.00   325.00    14.50 34693.00 34693.00  2719.25   884.75   239.05   473.42   105.09     4.09    38.75    73.45    58.15    10.20    71.81    34.22    11.15     0.00     1.48     0.79   512.00 
   37 1991  2     184.75    39.50     0.00  1181.50     7.00 46475.25 46475.25  8684.75  3252.25   258.87   460.58   121.63     4.00    14.00    83.59    66.18    11.61    55.88    35.81    14.08     0.00     3.04     0.29  1412.75 
   37 2013  3     219.25    62.00     0.00  7334.75    11.50 135087.25 135087.25 32048.00  6239.25   328.84   416.53   207.35     4.12    21.00   100.00    79.95    14.03     8.14    40.59    36.37     0.00     5.65     0.35  7627.50 
   38 1978  1     184.25    81.50     0.00   617.00    35.75 36135.75 36135.75  3734.25  1208.75   242.08   471.21   107.25     4.08    29.50    84.29    75.96    23.93    54.60    53.44    11.51     0.00     2.54     0.78   918.50 
   38 1991  2     219.25   108.25     0.00  4297.00    29.25 68855.50 68855.50 19261.75  4309.50   292.17   440.82   148.04     4.02    15.50    95.93    86.45    27.24    36.10    55.29    19.66     0.00     6.76     0.31  4653.75 
   38 2013  3      97.75    47.75     0.00 10545.25     4.00 294242.00 294242.00 38731.00  2876.50   372.51   401.50   306.04     4.70   101.75   100.00    90.86    28.63     1.00    64.81    76.09     0.00     3.63     0.35 10694.75 
   39 1978  1     215.00    86.75     0.00   306.25    43.50 35166.50 35166.50  3509.25  1354.00   243.28   470.69   105.80     4.14    25.75    79.09    32.26    21.85    18.64    61.44    11.27     0.00     1.85     0.78   651.50 
   39 1991  2     266.75   122.50     0.00  1693.25    46.75 51911.50 51911.50 14989.00  5058.75   281.85   449.24   128.54     4.32    10.00    90.01    36.71    24.87     2.02    63.10    15.44     0.00     4.10     0.28  2129.25 
   39 2013  3     201.00    95.00     0.00  7433.50    19.25 164037.00 164037.00 54003.75  7565.50   358.33   411.14   228.50     4.80    21.25   100.00    40.96    27.75     1.00    68.83    43.59     0.00     4.72     0.32  7748.75 
   40 1978  1     153.50     9.75     0.00   489.50     6.00 35390.75 35390.75  2801.00   899.00   238.45   473.05   106.14     4.07    39.00    83.25   100.00     6.24    89.63    38.44    11.32     0.00     1.86     0.80   658.75 
   40 1991  2     179.75    27.75     0.00  1366.25     7.25 49308.75 49308.75  8131.00  3206.00   256.74   458.61   125.28     3.97    15.00    94.74   100.00     7.11    73.15    40.09    14.79     0.00     3.21     0.30  1581.00 
   40 2013  3     198.75    28.75     0.00  6401.50     5.50 133967.75 133967.75 26040.25  5952.00   318.91   416.24   206.49     3.96    21.75   100.00   100.00     7.54    23.65    45.03    36.09     0.00     4.95     0.36  6634.50 
